player_api_id,birthday,height,weight
505942,1992-02-29 00:00:00,182.88,187
155782,1989-12-15 00:00:00,170.18,146
162549,1991-05-13 00:00:00,170.18,163
30572,1982-05-08 00:00:00,182.88,198
23780,1979-11-08 00:00:00,182.88,154
27316,1986-09-04 00:00:00,182.88,161
564793,1996-01-30 00:00:00,172.72,146
30895,1987-04-16 00:00:00,165.1,139
528212,1993-02-19 00:00:00,190.5,181
101042,1987-10-28 00:00:00,175.26,170
23889,1980-11-25 00:00:00,182.88,181
231592,1990-09-15 00:00:00,175.26,150
163222,1990-08-30 00:00:00,187.96,168
40719,1989-04-26 00:00:00,170.18,143
75489,1990-12-26 00:00:00,177.8,154
597948,1996-10-13 00:00:00,172.72,163
161644,1991-04-08 00:00:00,182.88,176
23499,1979-10-21 00:00:00,190.5,159
120919,1986-07-02 00:00:00,175.26,150
46447,1976-07-12 00:00:00,187.96,185
167027,1989-06-19 00:00:00,177.8,161
245653,1986-10-22 00:00:00,185.42,161
128456,1990-03-17 00:00:00,180.34,161
42664,1984-12-05 00:00:00,182.88,172
425950,1991-12-05 00:00:00,180.34,161
38423,1978-09-12 00:00:00,172.72,143
3264,1981-01-14 00:00:00,185.42,165
467485,1994-02-09 00:00:00,180.34,159
306735,1986-10-01 00:00:00,182.88,170
41659,1983-06-01 00:00:00,177.8,157
31684,1978-11-01 00:00:00,190.5,181
32637,1985-01-28 00:00:00,187.96,179
563215,1996-05-04 00:00:00,182.88,159
41093,1988-01-17 00:00:00,180.34,174
564712,1994-02-08 00:00:00,200.66,212
67334,1988-10-25 00:00:00,182.88,161
173955,1990-02-20 00:00:00,177.8,157
39562,1984-03-09 00:00:00,182.88,157
191784,1991-01-01 00:00:00,198.12,174
210400,1990-04-25 00:00:00,182.88,150
201915,1991-05-21 00:00:00,172.72,154
194479,1990-12-28 00:00:00,182.88,168
189181,1992-03-30 00:00:00,187.96,174
352887,1993-01-01 00:00:00,182.88,165
40005,1978-02-26 00:00:00,187.96,218
409003,1994-01-05 00:00:00,175.26,165
37280,1980-10-06 00:00:00,185.42,181
439366,1994-03-03 00:00:00,187.96,170
148827,1990-03-20 00:00:00,182.88,165
173011,1991-12-27 00:00:00,182.88,168
419681,1989-02-10 00:00:00,182.88,190
196947,1991-09-19 00:00:00,172.72,157
89405,1987-02-27 00:00:00,182.88,154
324910,1994-07-02 00:00:00,177.8,154
67952,1986-05-25 00:00:00,172.72,146
31012,1981-08-06 00:00:00,182.88,172
176301,1985-11-02 00:00:00,175.26,172
307227,1992-12-25 00:00:00,187.96,165
176302,1987-01-01 00:00:00,175.26,157
525595,1993-03-12 00:00:00,180.34,159
24385,1985-01-06 00:00:00,185.42,176
29904,1982-02-20 00:00:00,182.88,165
105548,1990-08-08 00:00:00,185.42,161
172875,1990-01-06 00:00:00,185.42,179
302985,1992-11-09 00:00:00,180.34,148
240556,1990-12-05 00:00:00,182.88,170
40938,1978-12-22 00:00:00,177.8,165
37422,1982-04-15 00:00:00,187.96,174
114503,1988-02-03 00:00:00,180.34,165
27277,1986-05-11 00:00:00,193.04,168
181344,1983-10-05 00:00:00,193.04,185
581141,1995-03-07 00:00:00,177.8,168
80592,1987-04-01 00:00:00,182.88,168
165706,1985-07-16 00:00:00,177.8,176
210453,1986-07-25 00:00:00,180.34,154
208635,1985-02-25 00:00:00,182.88,179
213695,1986-02-22 00:00:00,175.26,157
33715,1979-03-14 00:00:00,177.8,165
41489,1982-07-14 00:00:00,185.42,174
25571,1982-06-05 00:00:00,180.34,170
660145,1996-01-26 00:00:00,175.26,157
45960,1983-12-06 00:00:00,177.8,152
293235,1992-09-22 00:00:00,182.88,168
34487,1983-04-29 00:00:00,177.8,165
26331,1983-04-14 00:00:00,190.5,187
41749,1977-01-24 00:00:00,175.26,161
495841,1997-05-31 00:00:00,182.88,172
519835,1997-02-10 00:00:00,172.72,152
68840,1982-12-25 00:00:00,185.42,174
27534,1985-09-07 00:00:00,182.88,174
157303,1987-09-27 00:00:00,193.04,198
563198,1995-06-09 00:00:00,177.8,141
557396,1996-07-12 00:00:00,190.5,172
365666,1995-01-01 00:00:00,170.18,161
180197,1984-12-09 00:00:00,190.5,172
310346,1993-03-03 00:00:00,187.96,172
68962,1987-12-15 00:00:00,182.88,179
429870,1993-06-24 00:00:00,185.42,181
23133,1978-08-29 00:00:00,180.34,161
420209,1993-09-09 00:00:00,177.8,152
308280,1991-04-29 00:00:00,187.96,170
361712,1995-09-25 00:00:00,185.42,176
38617,1985-01-31 00:00:00,187.96,198
173993,1987-08-07 00:00:00,182.88,168
277313,1991-03-06 00:00:00,180.34,132
40568,1988-01-25 00:00:00,177.8,163
281079,1994-06-14 00:00:00,177.8,170
89240,1988-12-20 00:00:00,187.96,168
24159,1987-07-14 00:00:00,175.26,139
414208,1995-10-11 00:00:00,180.34,165
43317,1986-10-06 00:00:00,187.96,181
37234,1988-05-10 00:00:00,172.72,161
24952,1986-12-02 00:00:00,175.26,161
209372,1993-07-20 00:00:00,175.26,143
69518,1988-09-28 00:00:00,182.88,181
478447,1992-10-17 00:00:00,177.8,179
500502,1994-01-02 00:00:00,187.96,172
170593,1992-01-13 00:00:00,177.8,157
185336,1989-02-14 00:00:00,180.34,165
69249,1986-06-30 00:00:00,177.8,154
407308,1994-04-21 00:00:00,177.8,157
12245,1985-09-02 00:00:00,190.5,198
684978,1996-11-11 00:00:00,172.72,141
306507,1992-09-27 00:00:00,182.88,159
73078,1988-06-12 00:00:00,190.5,185
31916,1988-04-21 00:00:00,177.8,172
555649,1997-04-30 00:00:00,177.8,157
158861,1988-12-28 00:00:00,182.88,161
160447,1991-04-29 00:00:00,180.34,179
36774,1987-12-09 00:00:00,193.04,201
243068,1993-06-02 00:00:00,182.88,152
71359,1988-09-09 00:00:00,180.34,165
495942,1993-12-06 00:00:00,182.88,174
287224,1993-08-27 00:00:00,177.8,150
26136,1980-09-10 00:00:00,185.42,183
164360,1989-11-30 00:00:00,193.04,176
357881,1992-06-18 00:00:00,187.96,205
181211,1990-02-03 00:00:00,170.18,161
533212,1995-06-28 00:00:00,177.8,159
103866,1981-08-14 00:00:00,187.96,172
47394,1989-05-24 00:00:00,180.34,172
155738,1991-09-29 00:00:00,182.88,163
361710,1989-04-09 00:00:00,193.04,183
568920,1990-08-18 00:00:00,177.8,157
45816,1986-10-06 00:00:00,187.96,187
37249,1988-02-21 00:00:00,182.88,172
40012,1986-06-27 00:00:00,182.88,154
77741,1985-12-27 00:00:00,190.5,194
38612,1977-07-14 00:00:00,177.8,163
164115,1982-01-01 00:00:00,193.04,194
276701,1987-03-18 00:00:00,190.5,198
131409,1985-11-12 00:00:00,177.8,179
116788,1986-08-25 00:00:00,182.88,176
132844,1991-03-16 00:00:00,182.88,176
45815,1984-02-10 00:00:00,180.34,157
39875,1978-04-16 00:00:00,185.42,183
449241,1995-02-05 00:00:00,182.88,165
43049,1982-04-10 00:00:00,193.04,185
261599,1992-11-30 00:00:00,177.8,159
154950,1988-12-01 00:00:00,180.34,172
182107,1991-04-16 00:00:00,165.1,137
121643,1988-06-23 00:00:00,182.88,179
102572,1984-11-17 00:00:00,172.72,154
43348,1983-11-30 00:00:00,177.8,161
